"","QUESTION","STATION","TRANSECT","ROCK","HARVEST","LENGTH_M","TYPE","X","Y","LABEL"
"171",2,"LCO21",18,"ROCK","Y",22,"TRAN_ST",296496.7439,3235764.889,"LCO21-18"
"19",1,"LCO12",2,"ROCK","N",22,"TRAN_ST",295409.03,3238080.75,"LCO12-2"
"53",2,"LCI19",2,NA,"Y",21,"TRAN_ST",298329.3735,3235097.733,"LCI19-2"
"41",2,"BTI4",5,NA,"N",23,"TRAN_ST",297557.8058,3239113.733,"BTI4-5"
"33",1,"LCO9C",4,"ROCK","N",22,"TRAN_ST",294905.97,3238665.53,"LCO9C-4"
"137",2,"LCO19",10,"ROCK","Y",22,"TRAN_ST",296219.0078,3236492.738,"LCO19-10"
"23",1,"LCO12",4,"ROCK","N",22,"TRAN_ST",295412.39,3238083.97,"LCO12-4"
"65",2,"LCI35",1,NA,"Y",28,"TRAN_ST",298738.0484,3236357.733,"LCI35-1"
"140",2,"LCO19",13,"ROCK","Y",22,"TRAN_ST",296261.1408,3236415.608,"LCO19-13"
"107",2,"LTI11",2,NA,"N",32,"TRAN_ST",298414.4375,3238660.205,"LTI11-2"
"215",2,"LCO11B",7,"ROCK","N",22,"TRAN_ST",295260.5625,3238257.354,"LCO11B-7"
"153",2,"LCO20",11,"ROCK","Y",22,"TRAN_ST",296377.6393,3236022.061,"LCO20-11"
"228",2,"LCO13",6,"ROCK","N",22,"TRAN_ST",295529.2706,3237933.114,"LCO13-6"
"136",2,"LCO19",9,"ROCK","Y",22,"TRAN_ST",296219.0078,3236492.738,"LCO19-9"
"149",2,"LCO19",20,"ROCK","Y",22,"TRAN_ST",296282.2073,3236377.044,"LCO19-20"
"201",2,"LCO7",5,"ROCK","N",22,"TRAN_ST",294623.3532,3238942.068,"LCO7-5"
"57",2,"LCI23",3,NA,"N",26,"TRAN_ST",298856.8609,3235519.733,"LCI23-3"
"131",2,"LCO17",12,"ROCK","Y",22,"TRAN_ST",295969.7744,3236930.102,"LCO17-12"
"113",2,"LTI15",1,NA,"N",11,"TRAN_ST",298342.4375,3238164.711,"LTI15-1"
"43",2,"BTI7",1,NA,"N",11,"TRAN_ST",297958.8295,3239429.733,"BTI7-1"
"185",2,"LCO21",29,"ROCK","Y",22,"TRAN_ST",296535.5855,3235686.05,"LCO21-29"
"91",2,"LCI44",1,NA,"Y",22,"TRAN_ST",298348.6479,3235583.733,"LCI44-1"
"225",2,"LCO12",16,"ROCK","N",22,"TRAN_ST",295401.1475,3238093.089,"LCO12-16"
"59",2,"LCI30",2,NA,"N",27,"TRAN_ST",299212.6881,3235535.733,"LCI30-2"
"35",1,"LCO9C",5,"ROCK","N",22,"TRAN_ST",294906.73,3238666.82,"LCO9C-5"
"132",2,"LCO18",4,"ROCK","Y",22,"TRAN_ST",296029.6408,3236796.635,"LCO18-4"
"111",2,"LTI14",1,NA,"N",27,"TRAN_ST",298422.4375,3238423.936,"LTI14-1"
"157",2,"LCO20",15,"ROCK","Y",22,"TRAN_ST",296408.8006,3235963.976,"LCO20-15"
"155",2,"LCO20",13,"ROCK","Y",22,"TRAN_ST",296398.4135,3235983.338,"LCO20-13"
"232",2,"LCO14",5,"ROCK","N",22,"TRAN_ST",295641.2186,3237820.093,"LCO14-5"
"208",2,"LCO10A",16,"ROCK","N",22,"TRAN_ST",295084.284,3238533.752,"LCO10A-16"
"170",2,"LCO21",17,"ROCK","Y",22,"TRAN_ST",296496.7439,3235764.889,"LCO21-17"
"165",2,"LCO20",19,"ROCK","Y",22,"TRAN_ST",296460.736,3235867.169,"LCO20-19"
"243",2,"LCO15",12,"ROCK","N",22,"TRAN_ST",295774.1782,3237700.887,"LCO15-12"
"180",2,"LCO21",24,"ROCK","Y",22,"TRAN_ST",296525.8751,3235705.76,"LCO21-24"
"117",2,"LTI5",3,NA,"N",22,"TRAN_ST",298213.9722,3238551.733,"LTI5-3"
"175",2,"LCO21",20,"ROCK","Y",22,"TRAN_ST",296516.1647,3235725.469,"LCO21-20"
