STATION,REP,EPOCH,HARVEST,ROCK_SZ,TRANS_NUM,LENGTH_M,START_X,START_Y,END_X,END_Y
BTI1,1,3,NO,N_A,N_A,27.3,297606.4,3239498.2,297606.4,3239525.5
BTI1,2,3,NO,N_A,N_A,21.5,297613.2,3239489.7,297634.7,3239489.7
BTI2,1,3,NO,N_A,N_A,26.8,297703.2,3239359.7,297730.0,3239359.7
BTI2,2,3,NO,N_A,N_A,25.4,297638.4,3239381.8,297638.4,3239407.1
BTI3,1,3,NO,N_A,N_A,40.1,297488.0,3239005.7,297528.1,3239005.7
BTI3,2,3,NO,N_A,N_A,28.3,297563.9,3239127.7,297592.3,3239127.7
BTI4,1,3,NO,N_A,N_A,56.1,297831.9,3239179.7,297888.0,3239179.7
BTI4,2,3,NO,N_A,N_A,38.3,297870.4,3239165.3,297870.4,3239203.6
BTI5,1,3,NO,N_A,N_A,14.9,297802.4,3239153.2,297802.4,3239168.1
LCI1,1,1,NO,N_A,N_A,20.0,299282.0,3235919.0,299277.0,3235930.0
LCI1,2,3,NO,N_A,N_A,27.3,299312.4,3235910.9,299312.4,3235938.3
LCI10,1,3,YES,N_A,N_A,22.1,298178.4,3235865.1,298178.4,3235887.2
LCI10,2,3,YES,N_A,N_A,89.5,298072.3,3235857.7,298161.8,3235857.7
LCI11,1,3,YES,N_A,N_A,26.5,298230.4,3235731.3,298230.4,3235757.7
LCI12,1,3,YES,N_A,N_A,20.5,298364.9,3235645.7,298385.4,3235645.7
LCI13,1,3,YES,N_A,N_A,13.4,298536.3,3235407.7,298549.7,3235407.7
LCI14,1,3,YES,N_A,N_A,17.4,298242.4,3235223.8,298242.4,3235241.2
LCI15,1,3,YES,N_A,N_A,29.7,298339.5,3235185.7,298369.1,3235185.7
LCI15,2,3,YES,N_A,N_A,31.7,298321.0,3235215.7,298352.7,3235215.7
LCI16,1,3,YES,N_A,N_A,25.8,298352.4,3235099.6,298352.4,3235125.4
LCI2,1,1,YES,N_A,N_A,22.5,298841.0,3235773.0,298860.0,3235763.0
LCI3,1,1,YES,N_A,N_A,24.0,298763.0,3235642.0,298749.0,3235624.0
LCI4,1,3,NO,N_A,N_A,21.7,299137.6,3235589.7,299159.2,3235589.7
LCI5,1,3,YES,N_A,N_A,19.3,298844.4,3236099.2,298844.4,3236118.5
LCI6,1,3,YES,N_A,N_A,22.4,298690.4,3236231.1,298690.4,3236253.5
LCI7,1,3,YES,N_A,N_A,20.2,298626.4,3236015.0,298626.4,3236035.2
LCI7,2,3,YES,N_A,N_A,27.5,298612.4,3236001.9,298612.4,3236029.4
LCI8,1,3,YES,N_A,N_A,12.7,298326.4,3236013.0,298326.4,3236025.7
LCI9,1,3,YES,N_A,N_A,41.9,298200.2,3236057.7,298242.1,3236057.7
LCN1,1,1,YES,N_A,N_A,32.5,298380.0,3236557.0,298375.0,3236545.0
LCN2,1,1,YES,N_A,N_A,33.0,298651.0,3236638.0,298658.0,3236649.0
LCN3,1,1,YES,N_A,N_A,32.6,297907.0,3234553.0,297916.0,3234583.0
LCN4,1,1,YES,N_A,N_A,20.0,298534.0,3236727.0,298522.0,3236714.0
LCN5,1,1,YES,N_A,N_A,36.0,297281.0,3233308.0,297247.0,3233315.0
LCN6,1,3,YES,N_A,N_A,13.6,298680.4,3236802.2,298680.4,3236815.7
LCN7,1,3,YES,N_A,N_A,16.2,298611.8,3236561.7,298627.9,3236561.7
LCO9B,0,3,NO,LG,5,22.0,294830.5,3238750.8,0.0,0.0
LCO9B,0,3,NO,LG,2,22.0,294920.8,3238651.7,0.0,0.0
LCO9B,0,3,NO,LG,1,22.0,294942.0,3238634.7,0.0,0.0
LCO10A,0,3,NO,LG,3,22.0,295026.8,3238588.8,0.0,0.0
LCO11A,0,3,NO,LG,2,22.0,295240.3,3238286.6,0.0,0.0
LCO12,0,3,NO,LG,5,22.0,295456.0,3238032.8,0.0,0.0
LCO14,0,3,NO,SM,3,22.4,295625.5,3237836.1,0.0,0.0
LCO15,0,3,NO,SM,5,22.4,295729.6,3237751.3,0.0,0.0
LCO15,0,3,NO,SM,3,22.4,295774.2,3237700.9,0.0,0.0
LCO16,0,3,NO,SM,1,22.4,295902.7,3237537.6,0.0,0.0
LCO17,0,3,YES,SM,3,22.0,295964.9,3236951.5,0.0,0.0
LCO19,0,3,YES,SM,4,22.0,296176.9,3236569.9,0.0,0.0
LCO19,0,3,YES,SM,1,22.0,296250.6,3236434.9,0.0,0.0
LCO20,0,3,YES,SM,5,22.0,296377.6,3236022.1,0.0,0.0
LCO20,0,3,YES,SM,4,22.0,296388.0,3236002.7,0.0,0.0
LCO21,0,3,YES,SM,3,22.0,296525.9,3235705.8,0.0,0.0
LCO21,0,3,YES,SM,3,22.0,296574.4,3235607.2,0.0,0.0
LTI1,1,3,NO,N_A,N_A,24.8,298225.0,3238535.7,298249.8,3238535.7
LTI1,2,3,NO,N_A,N_A,23.0,298229.2,3238527.7,298252.2,3238527.7
LTI2,1,3,NO,N_A,N_A,25.0,298208.2,3238507.7,298233.2,3238507.7
NNI1,1,3,NO,N_A,N_A,20.6,298424.4,3237687.6,298424.4,3237708.3
NNI1,2,3,NO,N_A,N_A,22.3,298408.7,3237701.7,298431.0,3237701.7
NNI2,1,3,NO,N_A,N_A,13.1,298554.4,3237797.6,298554.4,3237810.7
NNI3,1,3,NO,N_A,N_A,19.5,298530.0,3237227.7,298549.5,3237227.7
