ID,QUESTION,STATION,TRANSECT,ROCK,HARVEST,LENGTH_M,START_X,START_Y,END_X,END_Y,LABEL,PRIMARY
1,2,LCI18,3,NO ROCK,Y,29.65319029,298339.4732,3235185.733,298369.1263,3235185.733,LCI18-3,1
2,2,LCI35,2,NO ROCK,Y,10.79689495,298726.4375,3236424.358,298726.4375,3236435.155,LCI35-2,1
3,2,LCI25,3,NO ROCK,Y,29.26540621,298581.0398,3235547.733,298610.3052,3235547.733,LCI25-3,1
4,2,LCI31,3,NO ROCK,Y,22.63083138,298040.4375,3235351.874,298040.4375,3235374.505,LCI31-3,1
5,2,LCI13,3,NO ROCK,Y,15.37584707,298096.4375,3235848.488,298096.4375,3235863.864,LCI13-3,1
6,2,LCI20,5,NO ROCK,Y,18.17384966,298504.4375,3236141.801,298504.4375,3236159.975,LCI20-5,1
7,2,LCI57,1,NO ROCK,Y,14.85894648,298562.4375,3236100.589,298562.4375,3236115.448,LCI57-1,1
8,2,LCN8,4,NO ROCK,Y,13.44872775,298552.4375,3236522.953,298552.4375,3236536.402,LCN8-4,1
9,2,LCI9,2,NO ROCK,Y,21.70486814,298808.4375,3236191.346,298808.4375,3236213.051,LCI9-2,1
10,2,LCI33,2,NO ROCK,Y,11.15366283,298340.0063,3236335.733,298351.16,3236335.733,LCI33-2,1
11,2,LCI27,2,NO ROCK,Y,35.00274217,298286.4375,3235952.339,298286.4375,3235987.341,LCI27-2,1
12,2,LCI58,1,NO ROCK,Y,24.11213326,298345.8121,3235907.733,298369.9242,3235907.733,LCI58-1,1
13,2,LCN16,1,NO ROCK,Y,30.37618815,297744.9548,3234723.733,297775.331,3234723.733,LCN16-1,1
14,2,LCI11,2,NO ROCK,Y,12.35625533,298280.9949,3236003.733,298293.3512,3236003.733,LCI11-2,1
15,2,LCI59,1,NO ROCK,Y,10.56746198,298680.8344,3236087.733,298691.4019,3236087.733,LCI59-1,1
16,2,LCN6,2,NO ROCK,Y,28.68568526,297897.9887,3234553.733,297926.6743,3234553.733,LCN6-2,1
17,2,LCI51,2,NO ROCK,Y,20.02788921,298077.5899,3235757.733,298097.6178,3235757.733,LCI51-2,2
18,2,LCI60,1,NO ROCK,Y,52.77900993,297963.7356,3235193.733,298016.5146,3235193.733,LCI60-1,2
19,2,LCI39,3,NO ROCK,N,67.33300739,299149.8001,3236043.733,299217.1331,3236043.733,LCI39-3,1
20,2,LTI18,1,NO ROCK,N,20.67340585,298368.8648,3238377.733,298389.5382,3238377.733,LTI18-1,1
21,2,BTI12,1,NO ROCK,N,15.28735165,297946.4375,3239427.55,297946.4375,3239442.838,BTI12-1,1
22,2,LCI38,2,NO ROCK,N,67.4808901,299112.4375,3235899.652,299112.4375,3235967.133,LCI38-2,1
23,2,BTI4,6,NO ROCK,N,25.18270624,297561.9671,3239123.733,297587.1498,3239123.733,BTI4-6,1
24,2,BTI4,7,NO ROCK,N,51.47149619,297632.4375,3239179.609,297632.4375,3239231.081,BTI4-7,1
25,2,LCI1,4,NO ROCK,N,77.08888766,299286.4375,3235920.438,299286.4375,3235997.527,LCI1-4,1
26,2,LCI39,4,NO ROCK,N,25.41583808,299080.4375,3235957.192,299080.4375,3235982.608,LCI39-4,2
27,2,LTI19,1,NO ROCK,N,15.86922072,298304.2369,3238245.733,298320.1061,3238245.733,LTI19-1,2
28,2,LCI42,2,NO ROCK,N,28.89654478,299038.6605,3235549.733,299067.557,3235549.733,LCI42-2,2
29,2,BTI3,5,NO ROCK,N,20.90648059,297594.4375,3239398.369,297594.4375,3239419.275,BTI3-5,2
