QUESTION,STATION,TRANSECT,ROCK,HARVEST,LENGTH_M,START_X,START_Y,END_X,END_Y,LABEL,PRIMARY,NUMTRANSECTS,TRANSECTPOSITION
2,LCO21,13,ROCK,Y,21.97183218,296564.7167,3235626.921,,,LCO21-13,1,1,3
2,LCO20,39,ROCK,Y,21.97183218,296346.478,3236080.146,,,LCO20-39,1,3,1
2,LCO20,40,ROCK,Y,21.97183218,296346.478,3236080.146,,,LCO20-40,1,3,2
2,LCO20,41,ROCK,Y,21.97183218,296346.478,3236080.146,,,LCO20-41,1,3,3
2,LCO19,23,ROCK,Y,21.97183218,296219.0078,3236492.738,,,LCO19-23,1,5,1
2,LCO19,22,ROCK,Y,21.97183218,296219.0078,3236492.738,,,LCO19-22,1,5,2
2,LCO19,9,ROCK,Y,21.97183218,296219.0078,3236492.738,,,LCO19-9,1,5,3
2,LCO19,10,ROCK,Y,21.97183218,296219.0078,3236492.738,,,LCO19-10,1,5,4
2,LCO19,34,ROCK,Y,21.97183218,296219.0078,3236492.738,,,LCO19-34,1,5,5
2,LCO19,19,ROCK,Y,21.97183218,296145.275,3236627.715,,,LCO19-19,1,1,3
2,LCO17,1,ROCK,Y,21.97183218,295959.9569,3236972.935,,,LCO17-1,1,5,1
2,LCO17,12,ROCK,Y,21.97183218,295959.9569,3236972.935,,,LCO17-12,1,5,2
2,LCO17,2,ROCK,Y,21.97183218,295959.9569,3236972.935,,,LCO17-2,1,5,3
2,LCO17,13,ROCK,Y,21.97183218,295959.9569,3236972.935,,,LCO17-13,1,5,4
2,LCO17,21,ROCK,Y,21.97183218,295959.9569,3236972.935,,,LCO17-21,1,5,5
2,LCO22,2,ROCK,Y,21.97183218,296673.878,3235457.511,,,LCO22-2,1,3,1
2,LCO22,3,ROCK,Y,21.97183218,296673.878,3235457.511,,,LCO22-3,1,3,2
2,LCO22,4,ROCK,Y,21.97183218,296673.878,3235457.511,,,LCO22-4,1,3,4
2,LCO19,6,ROCK,Y,21.97183218,296261.1408,3236415.608,,,LCO19-6,1,1,1
2,LCO20,17,ROCK,Y,21.97183218,296429.5748,3235925.253,,,LCO20-17,1,2,4
2,LCO20,42,ROCK,Y,21.97183218,296429.5748,3235925.253,,,LCO20-42,1,2,5
2,LCO20,43,ROCK,Y,21.97183218,296356.8651,3236060.784,,,LCO20-43,1,4,1
2,LCO20,44,ROCK,Y,21.97183218,296356.8651,3236060.784,,,LCO20-44,1,4,2
2,LCO20,45,ROCK,Y,21.97183218,296356.8651,3236060.784,,,LCO20-45,1,4,3
2,LCO20,46,ROCK,Y,21.97183218,296356.8651,3236060.784,,,LCO20-46,1,4,5
2,LCO20,47,ROCK,Y,21.97183218,296398.4135,3235983.338,,,LCO20-47,1,1,4
2,LCO19,35,ROCK,Y,21.97183218,296240.0743,3236454.173,,,LCO19-35,1,5,1
2,LCO19,24,ROCK,Y,21.97183218,296240.0743,3236454.173,,,LCO19-24,1,5,2
2,LCO19,25,ROCK,Y,21.97183218,296240.0743,3236454.173,,,LCO19-25,1,5,3
2,LCO19,36,ROCK,Y,21.97183218,296240.0743,3236454.173,,,LCO19-36,1,5,4
2,LCO19,26,ROCK,Y,21.97183218,296240.0743,3236454.173,,,LCO19-26,1,5,5
2,LCO21,8,ROCK,Y,21.97183218,296555.0063,3235646.631,,,LCO21-8,1,5,1
2,LCO21,37,ROCK,Y,21.97183218,296555.0063,3235646.631,,,LCO21-37,1,5,2
2,LCO21,9,ROCK,Y,21.97183218,296555.0063,3235646.631,,,LCO21-9,1,5,3
2,LCO21,38,ROCK,Y,21.97183218,296555.0063,3235646.631,,,LCO21-38,1,5,4
2,LCO21,10,ROCK,Y,21.97183218,296555.0063,3235646.631,,,LCO21-10,1,5,5
2,LCO21,26,ROCK,Y,21.97183218,296535.5855,3235686.05,,,LCO21-26,1,4,1
2,LCO21,28,ROCK,Y,21.97183218,296535.5855,3235686.05,,,LCO21-28,1,4,3
2,LCO21,29,ROCK,Y,21.97183218,296535.5855,3235686.05,,,LCO21-29,1,4,4
2,LCO21,30,ROCK,Y,21.97183218,296535.5855,3235686.05,,,LCO21-30,1,4,5
2,LCO20,48,ROCK,Y,21.97183218,296408.8006,3235963.976,,,LCO20-48,2,5,1
2,LCO20,49,ROCK,Y,21.97183218,296408.8006,3235963.976,,,LCO20-49,2,5,2
2,LCO20,15,ROCK,Y,21.97183218,296408.8006,3235963.976,,,LCO20-15,2,5,3
2,LCO20,50,ROCK,Y,21.97183218,296408.8006,3235963.976,,,LCO20-50,2,5,4
2,LCO20,51,ROCK,Y,21.97183218,296408.8006,3235963.976,,,LCO20-51,2,5,5
2,LCO18,4,ROCK,Y,21.97183218,296039.9788,3236777.247,,,LCO18-4,2,1,3
2,LCO20,32,ROCK,Y,21.97183218,296419.1877,3235944.615,,,LCO20-32,2,4,1
2,LCO20,33,ROCK,Y,21.97183218,296419.1877,3235944.615,,,LCO20-33,2,4,2
2,LCO20,35,ROCK,Y,21.97183218,296419.1877,3235944.615,,,LCO20-35,2,4,4
2,LCO20,52,ROCK,Y,21.97183218,296419.1877,3235944.615,,,LCO20-52,2,4,5
