QUESTION,STATION,TRANSECT,ROCK,HARVEST,LENGTH_M,TYPE,X,Y,LABEL
1,LCO10A,1,ROCK,N,22,TRAN_ST,295018.32,3238589.14,LCO10A-1
1,LCO10A,1,ROCK,N,22,TRAN_END,295037.8,3238578.18,LCO10A-1
1,LCO10A,2,ROCK,N,22,TRAN_ST,295018.79,3238590.75,LCO10A-2
1,LCO10A,2,ROCK,N,22,TRAN_END,295038.57,3238579.58,LCO10A-2
1,LCO10A,3,ROCK,N,22,TRAN_ST,295020.24,3238593.29,LCO10A-3
1,LCO10A,3,ROCK,N,22,TRAN_END,295040.2,3238582.07,LCO10A-3
1,LCO10A,4,ROCK,N,22,TRAN_ST,295020.9,3238594.72,LCO10A-4
1,LCO10A,4,ROCK,N,22,TRAN_END,295040.76,3238583.44,LCO10A-4
1,LCO10A,5,ROCK,N,22,TRAN_ST,295021.92,3238597.41,LCO10A-5
1,LCO10A,5,ROCK,N,22,TRAN_END,295042.29,3238585.94,LCO10A-5
1,LCO11B,1,ROCK,N,22,TRAN_ST,295300.69,3238213.19,LCO11B-1
1,LCO11B,1,ROCK,N,22,TRAN_END,295316.16,3238196.9,LCO11B-1
1,LCO11B,2,ROCK,N,22,TRAN_ST,295301.99,3238214.19,LCO11B-2
1,LCO11B,2,ROCK,N,22,TRAN_END,295317.29,3238197.98,LCO11B-2
1,LCO11B,3,ROCK,N,22,TRAN_ST,295303.16,3238214.96,LCO11B-3
1,LCO11B,3,ROCK,N,22,TRAN_END,295318.37,3238198.76,LCO11B-3
1,LCO12,1,ROCK,N,22,TRAN_ST,295407.77,3238079.65,LCO12-1
1,LCO12,1,ROCK,N,22,TRAN_END,295422.45,3238062.8,LCO12-1
1,LCO12,2,ROCK,N,22,TRAN_ST,295409.03,3238080.75,LCO12-2
1,LCO12,2,ROCK,N,22,TRAN_END,295423.61,3238063.57,LCO12-2
1,LCO12,3,ROCK,N,22,TRAN_ST,295410.15,3238081.78,LCO12-3
1,LCO12,3,ROCK,N,22,TRAN_END,295424.83,3238064.54,LCO12-3
1,LCO12,4,ROCK,N,22,TRAN_ST,295412.39,3238083.97,LCO12-4
1,LCO12,4,ROCK,N,22,TRAN_END,295427.14,3238066.53,LCO12-4
1,LCO12,5,ROCK,N,22,TRAN_ST,295414.69,3238085.64,LCO12-5
1,LCO12,5,ROCK,N,22,TRAN_END,295429.2,3238068.78,LCO12-5
1,LCO9C,1,ROCK,N,22,TRAN_ST,294903.28,3238662.02,LCO9C-1
1,LCO9C,1,ROCK,N,22,TRAN_END,294921.61,3238648.78,LCO9C-1
1,LCO9C,2,ROCK,N,22,TRAN_ST,294904.01,3238663.09,LCO9C-2
1,LCO9C,2,ROCK,N,22,TRAN_END,294922.51,3238650.04,LCO9C-2
1,LCO9C,3,ROCK,N,22,TRAN_ST,294905.08,3238664.31,LCO9C-3
1,LCO9C,3,ROCK,N,22,TRAN_END,294923.33,3238651.41,LCO9C-3
1,LCO9C,4,ROCK,N,22,TRAN_ST,294905.97,3238665.53,LCO9C-4
1,LCO9C,4,ROCK,N,22,TRAN_END,294924.24,3238652.57,LCO9C-4
1,LCO9C,5,ROCK,N,22,TRAN_ST,294906.73,3238666.82,LCO9C-5
1,LCO9C,5,ROCK,N,22,TRAN_END,294925.02,3238653.54,LCO9C-5
2,BTI3,1,NA,N,35.62360961,TRAN_ST,297704.4375,3239358.831,BTI3-1
2,BTI3,1,NA,N,35.62360961,TRAN_END,297704.4375,3239394.455,BTI3-1
2,BTI4,4,NA,N,30.49597553,TRAN_ST,297607.3742,3239195.733,BTI4-4
2,BTI4,4,NA,N,30.49597553,TRAN_END,297637.8701,3239195.733,BTI4-4
2,BTI7,1,NA,N,11.31292568,TRAN_ST,297958.8295,3239429.733,BTI7-1
2,BTI7,1,NA,N,11.31292568,TRAN_END,297970.1424,3239429.733,BTI7-1
2,BTI8,1,NA,N,18.93140362,TRAN_ST,297648.4375,3239589.044,BTI8-1
2,BTI8,1,NA,N,18.93140362,TRAN_END,297648.4375,3239607.976,BTI8-1
2,BTI9,1,NA,N,28.82316178,TRAN_ST,297796.4375,3239527.459,BTI9-1
2,BTI9,1,NA,N,28.82316178,TRAN_END,297796.4375,3239556.283,BTI9-1
2,LCI12,2,NA,Y,38.75603032,TRAN_ST,298240.4375,3236072.154,LCI12-2
2,LCI12,2,NA,Y,38.75603032,TRAN_END,298240.4375,3236110.91,LCI12-2
2,LCI1,3,NA,N,24.02611346,TRAN_ST,299316.4375,3235910.358,LCI1-3
2,LCI1,3,NA,N,24.02611346,TRAN_END,299316.4375,3235934.384,LCI1-3
2,LCI19,2,NA,Y,20.99002674,TRAN_ST,298329.3735,3235097.733,LCI19-2
2,LCI19,2,NA,Y,20.99002674,TRAN_END,298350.3636,3235097.733,LCI19-2
2,LCI20,4,NA,Y,42.45927454,TRAN_ST,298379.3815,3236189.733,LCI20-4
2,LCI20,4,NA,Y,42.45927454,TRAN_END,298421.8408,3236189.733,LCI20-4
2,LCI23,3,NA,N,26.10569712,TRAN_ST,298856.8609,3235519.733,LCI23-3
2,LCI23,3,NA,N,26.10569712,TRAN_END,298882.9666,3235519.733,LCI23-3
2,LCI30,2,NA,N,27.24698278,TRAN_ST,299212.6881,3235535.733,LCI30-2
2,LCI30,2,NA,N,27.24698278,TRAN_END,299239.9351,3235535.733,LCI30-2
2,LCI31,2,NA,Y,37.09536603,TRAN_ST,298070.4375,3235330.874,LCI31-2
2,LCI31,2,NA,Y,37.09536603,TRAN_END,298070.4375,3235367.97,LCI31-2
2,LCI34,1,NA,Y,21.47140822,TRAN_ST,298056.4375,3235433.777,LCI34-1
2,LCI34,1,NA,Y,21.47140822,TRAN_END,298056.4375,3235455.249,LCI34-1
2,LCI35,1,NA,Y,28.05795688,TRAN_ST,298738.0484,3236357.733,LCI35-1
2,LCI35,1,NA,Y,28.05795688,TRAN_END,298766.1064,3236357.733,LCI35-1
2,LCI36,1,NA,Y,24.05354655,TRAN_ST,298548.4375,3235890.015,LCI36-1
2,LCI36,1,NA,Y,24.05354655,TRAN_END,298548.4375,3235914.069,LCI36-1
2,LCI37,1,NA,Y,30.27229212,TRAN_ST,298388.3542,3235863.733,LCI37-1
2,LCI37,1,NA,Y,30.27229212,TRAN_END,298418.6265,3235863.733,LCI37-1
2,LCI38,1,NA,N,79.5388529,TRAN_ST,299126.4375,3235901.819,LCI38-1
2,LCI38,1,NA,N,79.5388529,TRAN_END,299126.4375,3235981.358,LCI38-1
2,LCI39,1,NA,N,17.14424366,TRAN_ST,299134.4375,3236006.909,LCI39-1
2,LCI39,1,NA,N,17.14424366,TRAN_END,299134.4375,3236024.054,LCI39-1
2,LCI39,2,NA,N,13.4813087,TRAN_ST,299170.4375,3236032.344,LCI39-2
2,LCI39,2,NA,N,13.4813087,TRAN_END,299170.4375,3236045.825,LCI39-2
2,LCI40,1,NA,N,26.08973151,TRAN_ST,299366.4375,3235839.912,LCI40-1
2,LCI40,1,NA,N,26.08973151,TRAN_END,299366.4375,3235866.002,LCI40-1
2,LCI41,1,NA,Y,23.59939922,TRAN_ST,298440.545,3235779.733,LCI41-1
2,LCI41,1,NA,Y,23.59939922,TRAN_END,298464.1444,3235779.733,LCI41-1
2,LCI42,1,NA,N,61.25655117,TRAN_ST,299062.4375,3235519.298,LCI42-1
2,LCI42,1,NA,N,61.25655117,TRAN_END,299062.4375,3235580.555,LCI42-1
2,LCI43,1,NA,Y,26.30713445,TRAN_ST,298654.6051,3235543.733,LCI43-1
2,LCI43,1,NA,Y,26.30713445,TRAN_END,298680.9122,3235543.733,LCI43-1
2,LCI44,1,NA,Y,22.43702991,TRAN_ST,298348.6479,3235583.733,LCI44-1
2,LCI44,1,NA,Y,22.43702991,TRAN_END,298371.0849,3235583.733,LCI44-1
2,LCI45,1,NA,Y,46.23098904,TRAN_ST,298210.4375,3235432.382,LCI45-1
2,LCI45,1,NA,Y,46.23098904,TRAN_END,298210.4375,3235478.613,LCI45-1
2,LCI7,2,NA,N,34.36302507,TRAN_ST,299136.9811,3235583.733,LCI7-2
2,LCI7,2,NA,N,34.36302507,TRAN_END,299171.3442,3235583.733,LCI7-2
2,LCN11,2,NA,Y,46.34860152,TRAN_ST,297878.4375,3234622.731,LCN11-2
2,LCN11,2,NA,Y,46.34860152,TRAN_END,297878.4375,3234669.079,LCN11-2
2,LCN12,1,NA,Y,12.01815728,TRAN_ST,298462.4591,3236725.733,LCN12-1
2,LCN12,1,NA,Y,12.01815728,TRAN_END,298474.4773,3236725.733,LCN12-1
2,LCN12,2,NA,Y,17.31234882,TRAN_ST,298494.4375,3236667.019,LCN12-2
2,LCN12,2,NA,Y,17.31234882,TRAN_END,298494.4375,3236684.332,LCN12-2
2,LCN12,3,NA,Y,12.94223116,TRAN_ST,298464.4375,3236678.882,LCN12-3
2,LCN12,3,NA,Y,12.94223116,TRAN_END,298464.4375,3236691.824,LCN12-3
2,LCN13,1,NA,Y,19.04074616,TRAN_ST,297812.4375,3234610.397,LCN13-1
2,LCN13,1,NA,Y,19.04074616,TRAN_END,297812.4375,3234629.438,LCN13-1
2,LCN14,1,NA,Y,13.35984995,TRAN_ST,298873.1681,3236635.733,LCN14-1
2,LCN14,1,NA,Y,13.35984995,TRAN_END,298886.5279,3236635.733,LCN14-1
2,LCN4,2,NA,Y,35.53695236,TRAN_ST,298775.0178,3236613.733,LCN4-2
