QUESTION,STATION,TRANSECT,ROCK,HARVEST,LENGTH_M,START_X,START_Y,END_X,END_Y,LABEL,PRIMARY,NUMTRANSECTS,TRANSECTPOSITION
2,BTI12,1,NO ROCK,N,15.28735165,297946.4375,3239427.55,297946.4375,3239442.838,BTI12-1,1,,
2,BTI3,5,NO ROCK,N,21.18,297594.4375,3239398.369,297594.4375,3239419.275,BTI3-5,2,,
2,BTI4,6,NO ROCK,N,25.18270624,297561.9671,3239123.733,297587.1498,3239123.733,BTI4-6,1,,
2,BTI4,7,NO ROCK,N,51.77,297632.4375,3239179.609,297632.4375,3239231.081,BTI4-7,1,,
2,LCI1,4,NO ROCK,N,76.5,299286.4375,3235920.438,299286.4375,3235997.527,LCI1-4,1,,
2,LCI11,2,NO ROCK,Y,11.55,298280.9949,3236003.733,298293.3512,3236003.733,LCI11-2,1,,
2,LCI13,3,NO ROCK,Y,15.08,298096.4375,3235848.488,298096.4375,3235863.864,LCI13-3,1,,
2,LCI18,3,NO ROCK,Y,30.5,298339.4732,3235185.733,298369.1263,3235185.733,LCI18-3,1,,
2,LCI20,5,NO ROCK,Y,18.17384966,298504.4375,3236141.801,298504.4375,3236159.975,LCI20-5,1,,
2,LCI25,3,NO ROCK,Y,26.5,298581.0398,3235547.733,298610.3052,3235547.733,LCI25-3,1,,
2,LCI27,2,NO ROCK,Y,34.75,298286.4375,3235952.339,298286.4375,3235987.341,LCI27-2,1,,
2,LCI31,3,NO ROCK,Y,22.63,298040.4375,3235351.874,298040.4375,3235374.505,LCI31-3,1,,
2,LCI33,2,NO ROCK,Y,11.15366283,298340.0063,3236335.733,298351.16,3236335.733,LCI33-2,1,,
2,LCI35,2,NO ROCK,Y,11.34,298726.4375,3236424.358,298726.4375,3236435.155,LCI35-2,1,,
2,LCI38,2,NO ROCK,N,67.4808901,299112.4375,3235899.652,299112.4375,3235967.133,LCI38-2,1,,
2,LCI39,3,NO ROCK,N,67.33300739,299149.8001,3236043.733,299217.1331,3236043.733,LCI39-3,1,,
2,LCI39,4,NO ROCK,N,25.41583808,299080.4375,3235957.192,299080.4375,3235982.608,LCI39-4,2,,
2,LCI42,2,NO ROCK,N,28.89654478,299038.6605,3235549.733,299067.557,3235549.733,LCI42-2,2,,
2,LCI51,2,NO ROCK,Y,20,298077.5899,3235757.733,298097.6178,3235757.733,LCI51-2,2,,
2,LCI57,1,NO ROCK,Y,14.38,298562.4375,3236100.589,298562.4375,3236115.448,LCI57-1,1,,
2,LCI58,1,NO ROCK,Y,24.11213326,298345.8121,3235907.733,298369.9242,3235907.733,LCI58-1,1,,
2,LCI59,1,NO ROCK,Y,10.37,298680.8344,3236087.733,298691.4019,3236087.733,LCI59-1,1,,
2,LCI60,1,NO ROCK,Y,52.8,297963.7356,3235193.733,298016.5146,3235193.733,LCI60-1,2,,
2,LCI9,2,NO ROCK,Y,20,298808.4375,3236191.346,298808.4375,3236213.051,LCI9-2,1,,
2,LCN16,1,NO ROCK,Y,29.71,297744.9548,3234723.733,297775.331,3234723.733,LCN16-1,1,,
2,LCN6,2,NO ROCK,Y,29.32,297897.9887,3234553.733,297926.6743,3234553.733,LCN6-2,1,,
2,LCN8,4,NO ROCK,Y,13.4,298552.4375,3236522.953,298552.4375,3236536.402,LCN8-4,1,,
1,LCO10A,1,ROCK,N,22.19,295018.32,3238589.14,295037.8,3238578.18,LCO10A-1,1,,
1,LCO10A,2,ROCK,N,22.38,295018.79,3238590.75,295038.57,3238579.58,LCO10A-2,1,,
1,LCO10A,3,ROCK,N,22.68,295020.24,3238593.29,295040.2,3238582.07,LCO10A-3,1,,
1,LCO10A,4,ROCK,N,23.06,295020.9,3238594.72,295040.76,3238583.44,LCO10A-4,1,,
1,LCO10A,5,ROCK,N,22.2,295021.92,3238597.41,295042.29,3238585.94,LCO10A-5,1,,
2,LCO10B,5,ROCK,N,27.16947743,295147.0453,3238443.753,,,LCO10B-5,2,5,1
2,LCO10B,6,ROCK,N,27.16947743,295147.0453,3238443.753,,,LCO10B-6,2,5,2
2,LCO10B,7,ROCK,N,27.16947743,295147.0453,3238443.753,,,LCO10B-7,2,5,3
2,LCO10B,8,ROCK,N,27.16947743,295147.0453,3238443.753,,,LCO10B-8,2,5,4
2,LCO10B,9,ROCK,N,27.16947743,295147.0453,3238443.753,,,LCO10B-9,2,5,5
1,LCO11B,1,ROCK,N,22.65,295300.69,3238213.19,295316.16,3238196.9,LCO11B-1,1,,
1,LCO11B,2,ROCK,N,22.73,295301.99,3238214.19,295317.29,3238197.98,LCO11B-2,1,,
1,LCO11B,3,ROCK,N,23.2,295303.16,3238214.96,295318.37,3238198.76,LCO11B-3,1,,
1,LCO12,1,ROCK,N,22.5,295407.77,3238079.65,295422.45,3238062.8,LCO12-1,1,,
1,LCO12,2,ROCK,N,22.5,295409.03,3238080.75,295423.61,3238063.57,LCO12-2,1,,
1,LCO12,3,ROCK,N,22.5,295410.15,3238081.78,295424.83,3238064.54,LCO12-3,1,,
1,LCO12,4,ROCK,N,22.5,295412.39,3238083.97,295427.14,3238066.53,LCO12-4,1,,
1,LCO12,5,ROCK,N,23.85,295414.69,3238085.64,295429.2,3238068.78,LCO12-5,1,,
2,LCO12,6,ROCK,N,22.08,295455.9826,3238032.784,,,LCO12-6,1,4,1
2,LCO12,7,ROCK,N,22.36,295455.9826,3238032.784,,,LCO12-7,1,4,2
2,LCO12,8,ROCK,N,22,,,,,LCO12-8,3,,
2,LCO12,9,ROCK,N,23.03,295455.9826,3238032.784,,,LCO12-9,1,4,4
2,LCO12,10,ROCK,N,23.37,295455.9826,3238032.784,,,LCO12-10,1,4,5
2,LCO13,4,ROCK,N,22.26,,,,,LCO13-4,3,,
2,LCO13,5,ROCK,N,23.38,,,,,LCO13-5,3,,
2,LCO13,6,ROCK,N,22.68,295529.2706,3237933.114,,,LCO13-6,2,3,4
2,LCO13,7,ROCK,N,27.16947743,295556.3459,3237897.331,,,LCO13-7,1,4,2
2,LCO13,8,ROCK,N,27.16947743,295556.3459,3237897.331,,,LCO13-8,1,4,3
2,LCO13,9,ROCK,N,27.16947743,295556.3459,3237897.331,,,LCO13-9,2,4,4
2,LCO13,10,ROCK,N,27.16947743,295556.3459,3237897.331,,,LCO13-10,2,4,5
2,LCO13,11,ROCK,N,22.78,295542.8083,3237915.223,,,LCO13-11,2,1,1
2,LCO13,12,ROCK,N,22.7,295529.2706,3237933.114,,,LCO13-12,2,3,3
2,LCO13,13,ROCK,N,22.96,295529.2706,3237933.114,,,LCO13-13,2,3,5
2,LCO13,14,ROCK,N,24.23,,,,,LCO13-14,3,,
2,LCO13,15,ROCK,N,24.1,,,,,LCO13-15,3,,
2,LCO13,16,ROCK,N,23.64,,,,,LCO13-16,3,,
2,LCO15,12,ROCK,N,22.43571838,295774.1782,3237700.887,,,LCO15-12,2,5,1
2,LCO15,13,ROCK,N,22.43571838,295774.1782,3237700.887,,,LCO15-13,2,5,3
