ID,QUESTION,STATION,TRANSECT,ROCK,HARVEST,LENGTH_M,START_X,START_Y,END_X,END_Y,LABEL,PRIMARY
1,1,LCO10A,1,ROCK,N,22,295018.32,3238589.14,295037.8,3238578.18,LCO10A-1,1
2,1,LCO10A,2,ROCK,N,22,295018.79,3238590.75,295038.57,3238579.58,LCO10A-2,1
3,1,LCO10A,3,ROCK,N,22,295020.24,3238593.29,295040.2,3238582.07,LCO10A-3,1
4,1,LCO10A,4,ROCK,N,22,295020.9,3238594.72,295040.76,3238583.44,LCO10A-4,1
5,1,LCO10A,5,ROCK,N,22,295021.92,3238597.41,295042.29,3238585.94,LCO10A-5,1
6,1,LCO11B,1,ROCK,N,22,295300.69,3238213.19,295316.16,3238196.9,LCO11B-1,1
7,1,LCO11B,2,ROCK,N,22,295301.99,3238214.19,295317.29,3238197.98,LCO11B-2,1
8,1,LCO11B,3,ROCK,N,22,295303.16,3238214.96,295318.37,3238198.76,LCO11B-3,1
9,1,LCO12,1,ROCK,N,22,295407.77,3238079.65,295422.45,3238062.8,LCO12-1,1
10,1,LCO12,2,ROCK,N,22,295409.03,3238080.75,295423.61,3238063.57,LCO12-2,1
11,1,LCO12,3,ROCK,N,22,295410.15,3238081.78,295424.83,3238064.54,LCO12-3,1
12,1,LCO12,4,ROCK,N,22,295412.39,3238083.97,295427.14,3238066.53,LCO12-4,1
13,1,LCO12,5,ROCK,N,22,295414.69,3238085.64,295429.2,3238068.78,LCO12-5,1
14,1,LCO9C,1,ROCK,N,22,294903.28,3238662.02,294921.61,3238648.78,LCO9C-1,1
15,1,LCO9C,2,ROCK,N,22,294904.01,3238663.09,294922.51,3238650.04,LCO9C-2,1
16,1,LCO9C,3,ROCK,N,22,294905.08,3238664.31,294923.33,3238651.41,LCO9C-3,1
17,1,LCO9C,4,ROCK,N,22,294905.97,3238665.53,294924.24,3238652.57,LCO9C-4,1
18,1,LCO9C,5,ROCK,N,22,294906.73,3238666.82,294925.02,3238653.54,LCO9C-5,1
